"long","lat","bio1","bio12"
-75.08332786,7.250003507,235,4083
-73.08332776,7.416670183,180,1424
-76.91666129,7.083336832,274,3927
-75.74999456,7.916670209,271,2147
-78.24999469,-0.249996884,76,1232
-85.58332841,10.25000366,259,1874
-72.24999438,8.750003585,285,1708
-75.91666124,8.083336884,263,1865
-76.41666126,2.750003273,151,1855
-89.74999529,16.58333733,246,1760
-73.08332776,6.250003455,187,2603
-79.5833281,-1.416663611,254,1886
-90.24999532,18.91667078,259,1162
-70.24999428,9.083336936,208,1555
-76.91666129,7.416670183,270,3373
-83.41666163,15.08333725,260,2560
-89.24999527,16.750004,241,1633
-83.08332828,9.750003638,244,2965
-82.74999493,9.250003612,186,2732
-86.08332844,13.58333717,228,1386
-70.0833276,8.58333691,272,1382
-86.91666181,14.58333722,217,1192
-75.41666121,2.750003273,252,1511
-75.58332789,7.916670209,275,2242
-80.2499948,-3.24999704,252,305
-73.08332776,7.083336832,210,1246
-73.24999443,8.083336884,190,1372
-73.91666113,11.08333704,201,2495
-88.91666192,17.08333735,239,1789
-73.08332776,8.250003559,196,1449
-73.24999443,8.916670261,240,2252
-70.0833276,7.750003533,276,1875
-76.41666126,1.75000322,129,1878
-77.24999464,7.916670209,243,2566
-75.08332786,6.250003455,197,3465
-71.58332768,11.08333704,283,529
-89.24999527,15.91667063,253,3308
-77.58332799,1.583336545,162,1919
-85.58332841,10.75000369,257,1720
-76.08332791,6.583336806,146,2475
-85.91666176,13.91667052,233,1597
-77.41666132,6.750003481,252,4425
-71.24999433,7.250003507,263,2045
-87.74999519,18.08333741,266,1334
-72.58332773,8.58333691,280,2621
-73.08332776,7.250003507,200,1435
-70.41666095,8.750003585,254,2347
-74.74999451,7.416670183,280,4293
-75.74999456,8.416670235,273,1487
-81.5833282,8.58333691,196,2638
-84.58332836,9.916670313,262,2436
-72.58332773,11.08333704,270,1194
-77.91666134,8.083336884,266,2260
-80.41666147,-3.583330391,253,203
-89.24999527,15.75000395,240,3067
-84.24999501,11.25000372,244,3609
-76.24999459,8.750003585,266,1374
-69.08332755,8.250003559,277,1442
-72.24999438,11.75000374,290,425
-81.08332817,-4.083330417,233,85
-85.24999506,12.58333712,248,1948
-74.91666119,4.250003351,274,1359
-82.2499949,8.58333691,244,3362
-75.74999456,6.250003455,202,1965
-88.41666189,16.41667065,261,2397
-82.58332825,9.083336936,216,2929
-85.91666176,13.75000385,219,1703
-75.24999454,3.416669974,247,1909
-75.58332789,9.916670313,275,1302
-76.08332791,8.750003585,269,1267
-89.08332859,18.58333743,251,1188
-79.41666142,-3.749997066,146,934
-84.58332836,12.41667044,251,2707
-84.58332836,11.25000372,254,2273
-87.91666186,20.25000419,257,1175
-90.08332864,17.4166707,254,1427
-74.58332784,7.916670209,263,3972
-73.24999443,9.583336962,254,1976
-69.4166609,8.750003585,278,1444
-85.58332841,12.91667047,232,1892
-84.91666171,13.91667052,246,2316
-86.58332846,13.75000385,213,1472
-88.24999521,18.08333741,255,1547
-74.08332781,5.250003403,138,1233
-78.58332804,-0.249996884,106,1320
-74.58332784,4.916670052,211,1876
-75.91666124,7.583336858,250,2782
-73.08332776,5.416670078,111,1096
-84.74999503,15.58333728,269,2823
-77.74999467,8.416670235,265,1826
-75.74999456,4.416670026,212,1966
-74.08332781,10.58333701,262,1662
-79.74999477,-0.916663585,254,1852
-74.58332784,7.416670183,258,3629
-83.5833283,13.58333717,263,3316
-76.41666126,6.250003455,245,4926
-86.41666179,14.41667055,237,1116
-85.58332841,10.58333701,262,1583
-72.74999441,9.750003638,274,2219
-75.58332789,8.58333691,270,1571
-79.41666142,-0.083330209,245,2724
-89.91666197,14.91667057,246,927
-79.24999475,-3.24999704,176,656
-76.58332794,2.250003247,121,2143
-79.91666145,0.583336493,251,1791
-79.5833281,-2.749997014,232,1100
-84.58332836,12.58333712,248,2762
-78.41666137,-0.083330209,154,843
-86.24999511,14.91667057,230,1253
-83.41666163,14.25000387,254,2816
-77.08332797,6.41667013,260,5750
-77.41666132,8.250003559,231,2198
-90.58332867,15.08333725,200,1118
-86.74999514,21.08333756,256,1080
-87.58332851,14.25000387,228,1136
-75.74999456,2.916669948,120,1876
-80.74999482,7.250003507,235,2580
-83.5833283,9.250003612,231,2665
-85.08332838,14.41667055,252,2033
-82.41666158,9.250003612,250,2865
-87.91666186,19.25000413,260,1301
-76.91666129,4.916670052,262,7298
-78.91666139,9.583336962,267,2464
-79.5833281,-3.583330391,168,1086
-71.91666103,7.916670209,149,1123
-85.91666176,11.25000372,262,1590
-90.41666199,18.41667076,260,1269
-76.41666126,2.583336597,135,1794
-71.416661,7.916670209,223,1507
-86.24999511,15.75000395,248,1860
-74.58332784,10.58333701,283,1168
-76.08332791,2.083336571,166,1822
-73.74999446,7.750003533,285,2341
-80.58332815,-4.249997092,224,482
-75.91666124,4.750003377,235,1613
-76.41666126,3.083336623,234,1803
-80.41666147,-2.91666369,247,284
-75.24999454,6.08333678,169,2719
-85.08332838,13.75000385,228,2367
-88.41666189,19.08333746,257,1200
-89.08332859,17.08333735,247,1448
-79.74999477,9.083336936,264,2373
-74.24999448,10.08333699,273,1449
-74.41666116,10.91667037,280,672
-79.08332807,-2.91666369,113,875
-68.91666087,8.750003585,276,1551
-77.74999467,2.916669948,263,6418
-80.2499948,9.083336936,265,3616
-72.41666106,10.91667037,251,1283
-85.24999506,11.41667039,265,1861
-69.91666093,8.916670261,270,1565
-86.58332846,15.4166706,250,1309
-83.5833283,10.41667034,261,4303
-74.58332784,10.41667034,282,1299
-76.91666129,7.250003507,272,3683
-80.58332815,-4.416663768,234,273
-75.41666121,3.083336623,240,1904
-85.08332838,10.25000366,267,1910
-76.74999462,8.416670235,263,2004
-82.41666158,8.083336884,265,2716
-89.08332859,19.41667081,255,1074
-85.91666176,12.58333712,237,992
-76.24999459,5.750003429,227,5851
-87.74999519,15.75000395,266,2098
-70.24999428,7.583336858,275,1938
-86.74999514,12.91667047,274,1789
-79.24999475,-1.749996962,222,1860
-90.58332867,14.7500039,191,1111
-71.74999435,9.250003612,286,1492
-73.41666111,5.416670078,137,980
-88.58332857,14.58333722,213,1336
-88.24999521,15.58333728,233,1811
-72.58332773,5.750003429,147,1372
-88.58332857,16.91667068,238,2355
-77.91666134,1.75000322,251,4371
-77.08332797,6.583336806,266,5191
-73.74999446,9.083336936,283,2031
-89.74999529,17.08333735,249,1460
-85.58332841,12.25000377,253,1298
-75.91666124,5.250003403,179,2408
-86.91666181,13.75000385,217,1181
-91.41666205,18.25000408,264,1760
-83.91666166,10.41667034,260,4122
-75.91666124,8.58333691,273,1311
-75.41666121,10.08333699,278,1315
-69.74999425,10.08333699,240,609
-87.24999516,13.08333714,281,1773
-88.24999521,17.91667073,254,1633
-74.91666119,8.083336884,282,3509
-88.58332857,19.75000416,259,1217
-70.7499943,6.583336806,268,1943
-79.74999477,-3.583330391,213,1286
-71.416661,9.083336936,279,1272
-70.24999428,9.416670287,160,895
-70.7499943,7.916670209,275,1656
-89.91666197,16.25000398,249,2136
-77.74999467,7.583336858,246,3308
-79.74999477,8.58333691,271,1699
-74.24999448,8.083336884,208,2376
-86.08332844,15.25000392,228,1357
-78.91666139,-2.749997014,128,831
-86.58332846,12.08333709,274,1320
-75.58332789,5.416670078,213,2228
-74.24999448,9.583336962,276,1452
-75.41666121,8.250003559,276,2012
-83.24999495,9.583336962,201,3119
-82.08332823,8.58333691,224,3195
-88.08332854,14.25000387,190,1601
-88.41666189,17.4166707,253,2107
-72.0833277,12.25000377,288,309
-76.58332794,3.583336649,204,1343
-74.74999451,5.916670104,269,2369
-77.74999467,2.083336571,254,3871
-89.41666194,18.58333743,246,1125
-76.74999462,5.583336754,264,7016
-73.91666113,7.416670183,284,2738
-71.91666103,5.916670104,258,2800
-75.74999456,5.583336754,150,2546
-84.74999503,12.75000379,245,2789
-78.41666137,8.916670261,252,2047
-85.41666173,10.08333699,253,2072
-73.91666113,7.583336858,284,2548
-77.24999464,5.916670104,253,6092
-84.41666168,10.41667034,252,3437
-73.74999446,6.916670157,283,2652
-78.58332804,0.916669844,228,3191
-79.74999477,-3.083330365,245,908
-84.74999503,14.25000387,248,2340
-79.91666145,-1.916663637,254,909
-70.7499943,7.750003533,273,1693
-86.41666179,11.75000374,277,1513
-74.08332781,4.916670052,131,870
-87.41666184,20.75000421,254,1260
-90.74999535,15.25000392,189,1629
-90.74999535,18.75000411,260,1395
-78.08332802,2.583336597,259,4247
-85.91666176,15.25000392,236,1500
-75.24999454,10.75000369,277,962
-76.08332791,5.750003429,160,2954
-76.91666129,7.583336858,269,3078
-83.41666163,12.41667044,259,3016
-76.91666129,3.250003299,206,2743
-90.41666199,17.08333735,257,1776
-71.91666103,5.750003429,264,2606
-69.74999425,9.083336936,273,1596
-79.24999475,-2.083330313,242,1888
-79.91666145,-3.583330391,247,878
-79.08332807,-0.583330235,178,2216
-75.08332786,10.75000369,273,1157
-90.08332864,16.0833373,252,2371
-79.08332807,8.916670261,266,2004
-89.91666197,14.7500039,192,1581
-80.74999482,-3.916663742,241,211
-83.5833283,13.08333714,261,3003
-85.08332838,15.75000395,264,2595
-83.24999495,10.08333699,263,3186
-81.24999485,7.750003533,263,3073
-79.41666142,0.250003142,250,2423
-77.24999464,1.250003194,126,1482
-84.41666168,11.25000372,251,2770
-72.0833277,7.916670209,150,1028
-82.74999493,9.750003638,262,2439
-87.91666186,14.58333722,199,1473
-86.41666179,15.25000392,232,1356
-77.08332797,6.916670157,272,4084
-71.74999435,7.750003533,236,2033
-85.08332838,11.25000372,263,1902
-84.24999501,13.91667052,257,2788
-86.58332846,12.25000377,273,1285
-77.41666132,5.583336754,254,6126
-70.7499943,9.083336936,139,856
-79.74999477,-0.083330209,244,1887
-72.41666106,10.58333701,258,1418
-75.24999454,7.083336832,214,3631
-79.74999477,-2.583330339,255,835
-79.5833281,-0.74999691,250,2220
-76.41666126,6.41667013,246,4197
-78.24999469,2.416669922,259,4068
-75.08332786,5.750003429,211,3866
-72.58332773,11.58333707,285,513
-75.24999454,4.416670026,196,1819
-81.24999485,8.416670235,238,2724
-79.91666145,-0.249996884,242,1478
-90.41666199,19.08333746,259,1230
-75.24999454,4.250003351,216,1894
-88.91666192,16.750004,232,2063
-86.58332846,11.75000374,281,1453
-85.74999508,11.75000374,269,1446
-79.5833281,9.416670287,244,3158
-90.08332864,15.4166706,175,3019
-89.24999527,16.25000398,230,2454
-84.58332836,11.75000374,247,2667
-86.91666181,13.08333714,275,1787
-71.91666103,11.08333704,283,744
-74.41666116,9.583336962,276,1332
-84.74999503,11.91667042,249,2371
-77.24999464,2.750003273,253,6586
-85.91666176,14.41667055,248,1520
-91.41666205,18.91667078,264,1325
-80.2499948,-2.249996988,247,690
-72.58332773,5.416670078,200,2920
-79.74999477,-2.083330313,255,1041
-90.58332867,19.25000413,259,1255
-83.74999498,11.91667042,257,4448
-88.08332854,17.91667073,261,1461
-72.74999441,8.083336884,230,1998
-83.08332828,9.416670287,196,2996
-72.24999438,9.583336962,283,1518
-72.91666108,9.916670313,166,2222
-88.74999524,19.08333746,256,1061
-76.08332791,4.416670026,235,1205
-88.91666192,19.08333746,256,1064
-75.91666124,7.250003507,172,2760
-80.58332815,-4.583330443,237,167
-79.41666142,-0.74999691,246,2463
-74.41666116,5.583336754,240,2579
-74.41666116,8.58333691,280,3094
-88.08332854,18.75000411,260,1362
-80.58332815,8.250003559,270,1553
-90.24999532,16.750004,250,1789
-79.24999475,1.083336519,257,1813
-73.91666113,9.750003638,279,1562
-84.08332833,13.58333717,261,2717
-68.91666087,8.916670261,276,1629
-83.91666166,9.916670313,160,2091
-79.41666142,-0.583330235,245,2626
-87.24999516,14.0833372,204,1041
-87.91666186,15.58333728,266,1589
-79.5833281,8.750003585,271,1682
-87.91666186,18.91667078,261,1344
-73.24999443,9.750003638,271,1681
-86.91666181,12.58333712,262,1698
-74.91666119,5.583336754,248,2998
-86.91666181,13.58333717,247,1005
-69.91666093,8.083336884,277,1564
-71.91666103,11.25000372,284,705
-72.58332773,5.583336754,188,2285
-80.41666147,-0.583330235,246,509
-72.74999441,10.75000369,227,1383
-71.91666103,9.583336962,284,1330
-73.74999446,9.916670313,282,1231
-70.7499943,9.583336962,280,1127
-72.58332773,10.41667034,216,1644
-70.58332763,8.083336884,277,1658
-76.91666129,3.583336649,242,2848
-88.58332857,14.7500039,211,1366
-85.74999508,15.4166706,237,1666
-89.24999527,15.58333728,255,2902
-71.416661,8.250003559,144,1039
-81.74999488,7.750003533,264,3380
-77.08332797,7.416670183,269,2974
-73.58332778,8.416670235,253,1427
-90.24999532,18.08333741,256,1315
-79.41666142,-1.083330261,250,2176
-88.91666192,14.91667057,209,1500
-80.41666147,-0.916663585,251,484
-83.74999498,11.08333704,261,5188
-80.2499948,-3.916663742,235,975
-88.08332854,14.41667055,194,1582
-83.5833283,14.91667057,255,2555
-80.74999482,8.416670235,253,2736
-85.58332841,15.91667063,272,1714
-72.24999438,12.25000377,289,332
-84.91666171,14.7500039,258,2186
-77.58332799,8.416670235,255,1969
-71.91666103,11.75000374,283,401
-73.08332776,11.25000372,279,1137
-73.58332778,5.250003403,120,971
-82.9166616,9.916670313,263,2876
-76.74999462,5.416670078,264,7225
-89.91666197,17.91667073,252,1268
-72.0833277,6.41667013,123,1768
-77.91666134,8.916670261,255,1756
-84.58332836,10.58333701,255,3135
-86.08332844,14.0833372,221,1616
-71.58332768,12.08333709,272,380
-86.74999514,12.08333709,274,1355
-72.91666108,8.750003585,276,3528
-84.91666171,14.25000387,243,2233
-91.24999537,18.08333741,263,1760
-84.91666171,15.91667063,271,2932
-76.41666126,6.916670157,237,3055
-80.9166615,7.416670183,264,3241
-68.7499942,8.750003585,275,1524
-75.08332786,2.750003273,153,1768
-74.91666119,7.583336858,286,4111
-87.08332849,12.41667044,273,1545
-76.41666126,1.916669896,152,1895
-77.24999464,3.416669974,263,6970
-76.08332791,1.916669896,202,1506
-81.24999485,7.916670209,264,2903
-70.24999428,10.25000366,251,700
-73.58332778,11.25000372,274,1987
-75.91666124,1.916669896,196,1593
-76.41666126,5.083336728,249,6014
-76.08332791,5.416670078,227,4048
-89.41666194,14.58333722,217,1291
-84.24999501,12.41667044,252,3062
-75.41666121,10.75000369,276,996
-84.24999501,13.25000382,257,2643
-81.08332817,8.416670235,244,2744
-72.74999441,6.41667013,160,1594
-91.0833287,18.75000411,264,1457
-90.74999535,17.91667073,263,1457
-74.91666119,5.416670078,248,2987
-71.91666103,7.750003533,217,1890
-77.41666132,4.916670052,259,6721
-88.91666192,14.7500039,211,1419
-72.91666108,11.41667039,282,801
-77.08332797,8.416670235,257,2165
-84.74999503,14.41667055,245,2216
-72.24999438,5.916670104,206,2448
-72.41666106,10.75000369,239,1351
-79.41666142,-3.083330365,95,928
-76.58332794,7.083336832,260,4016
-77.58332799,3.250003299,263,7164
-84.41666168,13.25000382,255,2671
-83.91666166,12.25000377,251,3908
-90.41666199,16.0833373,254,2604
-69.08332755,8.58333691,277,1472
-72.91666108,7.583336858,125,1190
-90.24999532,15.75000395,245,3602
-80.58332815,-4.083330417,224,567
-74.91666119,5.916670104,245,2917
-86.41666179,15.58333728,252,1698
-75.08332786,3.416669974,259,1494
-80.41666147,7.583336858,249,1908
-80.74999482,-1.083330261,241,289
-82.9166616,8.58333691,259,3821
-90.41666199,18.75000411,258,1244
-74.74999451,10.08333699,282,1134
-70.0833276,10.25000366,256,631
-90.08332864,14.58333722,164,1714
-73.08332776,7.583336858,162,1324
-79.91666145,8.916670261,264,2217
-85.41666173,15.91667063,271,2049
-75.58332789,9.750003638,275,1268
-80.74999482,-4.416663768,217,252
-90.91666202,17.58333738,263,1680
-76.08332791,5.083336728,131,2552
-79.08332807,-1.083330261,167,1900
-84.91666171,11.58333707,261,2000
-83.74999498,12.08333709,255,4407
-72.74999441,8.416670235,269,2838
-88.58332857,15.08333725,221,1545
-85.24999506,13.58333717,242,2293
-73.74999446,5.083336728,129,886
-88.58332857,15.75000395,270,2753
-85.24999506,13.08333714,240,2551
-81.08332817,7.750003533,265,3190
-86.91666181,15.75000395,259,2385
-80.58332815,8.416670235,266,1826
-88.91666192,17.25000403,249,1686
-73.08332776,10.25000366,198,1869
-83.74999498,10.41667034,260,4268
-75.08332786,9.750003638,267,1194
-73.41666111,7.083336832,265,2058
-72.41666106,8.250003559,278,2552
-88.91666192,17.58333738,252,1543
-77.41666132,1.083336519,141,1279
-84.08332833,9.916670313,195,2000
-77.58332799,2.250003247,231,3401
-88.41666189,18.75000411,257,1151
-85.41666173,12.41667044,239,1562
-91.24999537,15.25000392,186,1686
-76.91666129,6.750003481,276,4434
-79.91666145,8.416670235,270,1420
-80.2499948,-1.916663637,249,817
-91.0833287,17.08333735,255,2142
-85.41666173,10.58333701,258,1740
-90.91666202,18.91667078,262,1399
-75.91666124,7.750003533,263,2552
-75.41666121,9.916670313,277,1503
-86.08332844,15.4166706,219,1516
-74.41666116,4.916670052,182,1645
-77.08332797,1.250003194,111,2061
-80.41666147,8.916670261,265,3473
-85.58332841,11.91667042,269,1385
-90.58332867,15.58333728,239,3784
-70.91666098,9.416670287,280,1166
-81.5833282,8.083336884,257,3379
-73.08332776,11.08333704,256,1317
-71.24999433,9.250003612,277,1247
-75.74999456,5.250003403,206,2160
-88.08332854,14.58333722,215,1772
-88.74999524,15.91667063,259,3709
-77.74999467,8.750003585,252,1777
-88.08332854,15.58333728,230,1689
-83.91666166,12.41667044,252,3389
-77.41666132,7.583336858,255,2977
-84.24999501,13.4166705,261,2634
-77.24999464,6.250003455,237,5663
-78.41666137,0.750003168,199,1992
-87.91666186,14.7500039,206,1848
-86.08332844,11.91667042,257,1633
-78.24999469,8.750003585,258,1920
-73.24999443,10.41667034,280,1170
-75.58332789,8.416670235,273,1623
-84.08332833,11.41667039,248,3893
-88.08332854,17.58333738,257,1646
-87.91666186,15.91667063,266,2224
-73.58332778,10.91667037,82,2311
-82.74999493,8.416670235,261,2733
-76.41666126,4.583336702,219,2190
-76.91666129,2.750003273,177,3015
-84.91666171,10.75000369,254,2729
-77.74999467,1.250003194,152,1647
-76.91666129,8.250003559,263,2277
-84.08332833,10.75000369,257,4021
-70.41666095,10.25000366,243,943
-89.58332862,15.08333725,224,1702
-74.91666119,6.250003455,230,3090
-76.91666129,4.416670026,262,6227
-90.24999532,19.25000413,261,1193
-73.58332778,8.58333691,261,1560
-72.24999438,5.750003429,228,2918
-78.24999469,2.583336597,258,4087
-71.416661,12.25000377,277,359
-86.91666181,14.0833372,234,887
-78.74999472,0.750003168,235,2678
-90.74999535,18.25000408,262,1402
-83.74999498,13.91667052,256,2999
-86.91666181,20.75000421,258,1166
-83.5833283,12.41667044,258,3141
-75.74999456,4.916670052,210,2272
-72.91666108,6.41667013,157,1882
-77.74999467,6.916670157,261,4130
-78.58332804,2.250003247,257,3389
-71.58332768,8.250003559,147,1009
-77.08332797,4.583336702,258,6538
-71.91666103,6.41667013,220,3046
-72.24999438,10.91667037,277,1239
-74.58332784,5.583336754,271,2220
-78.91666139,-0.083330209,203,2892
-87.58332851,19.41667081,261,1274
-80.08332812,-0.083330209,242,1000
-69.4166609,8.916670261,277,1495
-73.91666113,10.58333701,204,2252
-85.91666176,14.7500039,249,1303
-77.58332799,7.916670209,257,2550
-72.91666108,10.58333701,226,1461
-77.41666132,2.083336571,197,2587
