"long","lat","bio1","bio12"
-71.58332768,6.250003455,263,2588
-83.91666166,11.91667042,256,4614
-69.74999425,9.916670313,239,586
-72.0833277,7.583336858,242,2450
-69.91666093,9.583336962,195,1210
-75.08332786,6.750003481,217,3031
-76.08332791,4.583336702,223,1350
-79.24999475,-0.416663559,232,2723
-74.41666116,10.25000366,278,1411
-74.74999451,9.583336962,279,1037
-78.74999472,9.083336936,259,2492
-73.74999446,9.750003638,281,1391
-75.91666124,2.750003273,133,1769
-84.24999501,11.58333707,252,3135
-72.74999441,6.250003455,116,1412
-80.08332812,7.583336858,267,1357
-80.41666147,-2.083330313,241,667
-82.2499949,8.916670261,237,3348
-75.91666124,7.416670183,218,2699
-78.74999472,1.41666987,257,2711
-89.58332862,16.58333733,242,1728
-71.74999435,5.916670104,264,2525
-72.24999438,10.41667034,276,1140
-88.08332854,17.08333735,252,2023
-74.74999451,5.250003403,269,1859
-78.08332802,1.75000322,257,5488
-75.91666124,1.75000322,193,1854
-85.24999506,10.25000366,266,1852
-76.58332794,6.750003481,240,3761
-77.08332797,6.250003455,255,6099
-80.2499948,-3.416663716,253,287
-74.91666119,7.083336832,244,3531
-88.74999524,18.91667078,254,1090
-74.41666116,7.416670183,244,3186
-78.74999472,0.416669818,167,2218
-83.41666163,8.416670235,255,3760
-72.41666106,5.250003403,265,2878
-87.41666184,20.08333751,260,1213
-72.41666106,7.250003507,168,1737
-75.91666124,3.083336623,100,1934
-71.416661,11.75000374,284,360
-84.74999503,11.25000372,258,1969
-73.24999443,9.916670313,276,1598
-71.74999435,12.41667044,286,277
-79.08332807,-1.749996962,143,1067
-86.41666179,11.58333707,279,1543
-70.7499943,8.58333691,193,1510
-72.74999441,10.25000366,176,2046
-69.58332757,10.25000366,226,486
-69.4166609,10.08333699,233,504
-79.08332807,-1.916663637,157,1089
-84.58332836,13.58333717,258,2568
-84.58332836,14.7500039,254,2115
-80.41666147,-2.416663664,242,495
-89.74999529,18.41667076,250,1159
-79.91666145,9.250003612,266,2990
-83.74999498,15.08333725,260,2544
