"mu1","mu2","s11","s12","s21","s22"
234.574668760287,3676.63087420864,0.00105681544822384,-2.39638927485474e-07,-2.39638927485474e-07,4.78643975291508e-07
230.708968721152,3952.38403090428,0.000631306295524258,6.11650259331999e-06,6.11650259331999e-06,5.0537278599018e-07
235.660610909358,3746.60007232165,0.000721926471424999,-1.84351286142436e-06,-1.84351286142436e-06,5.29013682789905e-07
238.999485119314,3815.25635106609,0.000890817883306516,4.39758080660746e-07,4.39758080660746e-07,5.75307499245917e-07
213.057888808517,4112.72544398354,0.000914700799685757,8.65540964304236e-06,8.65540964304236e-06,7.5290913175673e-07
220.304340531436,4055.51956376189,0.000781467445117788,7.0676671197003e-06,7.0676671197003e-06,5.77798220776562e-07
231.891877189763,4265.93696602251,0.00121115918504917,-1.21529225136737e-06,-1.21529225136737e-06,4.59351527063642e-07
243.320703797136,3820.5794623101,0.00101058165656489,-5.85491400962397e-06,-5.85491400962397e-06,4.68250811497503e-07
222.122956797667,4071.88582956162,0.00123640755426004,9.23383386749477e-06,9.23383386749477e-06,6.40619424623395e-07
226.633789319873,4071.88582956162,0.00117588886934268,9.23383386749477e-06,9.23383386749477e-06,6.49657472877517e-07
230.930957196491,3798.86123365857,0.000946629048461907,2.06443179887887e-06,2.06443179887887e-06,6.20985285800031e-07
219.497638321972,4015.12574744809,0.000603869550758819,7.02706384512829e-06,7.02706384512829e-06,6.60031946659878e-07
222.71801194887,4355.47040911906,0.00100082486826464,3.59465365332964e-06,3.59465365332964e-06,3.98043579379773e-07
210.324768147996,4292.19775805281,0.000880069773455532,1.4418316715603e-05,1.4418316715603e-05,8.76494719903302e-07
226.440313613795,4030.30468368926,0.00157679995031557,8.29736675968622e-06,8.29736675968622e-06,6.45554687339552e-07
235.976311126184,4018.94170597837,0.000737574324358526,2.96691106257617e-06,2.96691106257617e-06,5.13038341280108e-07
223.826051911441,4001.18963733472,0.000902106256740714,6.18775867099703e-06,6.18775867099703e-06,5.63795353139e-07
239.83143438107,4099.02642848862,0.000636890130760134,-2.12983960866225e-06,-2.12983960866225e-06,4.94409311962894e-07
244.058427891959,4273.33081459694,0.00112654918411426,-2.34339532271786e-06,-2.34339532271786e-06,3.82216019052727e-07
228.944909041252,4045.83882201032,0.00100238145115106,4.37977211303207e-06,4.37977211303207e-06,4.86157497776909e-07
231.694965632029,3939.78645887251,0.000872704260317045,3.14272799415482e-06,3.14272799415482e-06,4.76475842356171e-07
