long,lat
-98.08333333,20.41666667
-97.91666667,20.25
-99.08333333,21.41666667
-98.08333333,20.25
-97.91666667,20.08333333
-99.08333333,21.58333333
-97.75,20.08333333
-97.58333333,19.91666667
-97.75,19.91666667
-97.41666667,19.91666667
-98.25,20.41666667
-98.58333333,20.91666667
-98.91666667,21.25
-97.08333333,19.08333333
-97.25,19.75
-92.41666667,16.75
-97.08333333,19.25
-97.08333333,19.41666667
-92.25,16.58333333
-98.25,20.58333333
-98.41666667,20.58333333
-97.08333333,19.75
-99.08333333,21.25
-92.58333333,16.75
-96.91666667,19.75
-92.41666667,16.58333333
-96.91666667,18.25
-97.58333333,20.08333333
-96.41666667,17.41666667
-92.25,16.41666667
-98.41666667,20.41666667
-97.25,19.91666667
-97.08333333,18.75
-98.41666667,20.75
-96.75,17.91666667
-98.25,20.25
-98.75,21.08333333
-91.58333333,15.91666667
-96.41666667,17.25
-91.41666667,15.91666667
-96.41666667,17.08333333
-98.75,20.91666667
-96.41666667,17.58333333
-91.41666667,15.58333333
-97.08333333,19.58333333
-92.25,16.75
-97.08333333,18.58333333
-97.41666667,19.75
-98.08333333,20.08333333
-96.08333333,17.08333333
-91.41666667,15.75
-98.91666667,20.91666667
-96.08333333,17.25
-97.75,20.25
-96.91666667,18.08333333
-98.58333333,21.08333333
-98.58333333,20.58333333
-92.75,16.75
-91.58333333,15.41666667
-98.58333333,20.75
-98.75,20.75
-92.08333333,16.41666667
-91.25,15.41666667
-91.25,15.58333333
-97.91666667,19.91666667
-96.58333333,17.58333333
-98.91666667,21.41666667
-96.91666667,18.41666667
-97.25,19.58333333
-92.75,16.91666667
-98.91666667,21.08333333
-91.58333333,15.75
-96.25,17.08333333
-97.58333333,19.75
-91.41666667,15.41666667
-97.08333333,18.41666667
-96.08333333,16.91666667
-99.25,21.41666667
-98.08333333,20.58333333
-92.08333333,16.58333333
-91.75,15.25
-97.91666667,20.41666667
-96.58333333,17.25
-91.58333333,15.58333333
-96.58333333,17.41666667
-96.75,17.75
-91.58333333,15.08333333
-106.25,24.41666667
-96.25,17.25
-92.58333333,16.91666667
-97.08333333,18.91666667
-96.75,17.41666667
-97.25,18.91666667
