species,long,lat
Threnetes_ruckeri,-79.083336,-0.016667
Threnetes_ruckeri,-83.25,10
Threnetes_ruckeri,-79.30198,-0.761655
Threnetes_ruckeri,-82.39102,9.292605
Threnetes_ruckeri,-80.11278,8.421689
Threnetes_ruckeri,-89.08052,16.285313
Threnetes_ruckeri,-76.83993,3.479324
Threnetes_ruckeri,-79.458275,-1.43717
Threnetes_ruckeri,-78.45,1.433333
Threnetes_ruckeri,-82.95,9.75
Threnetes_ruckeri,-78.666664,1.166667
Threnetes_ruckeri,-73.666664,7.833334
Threnetes_ruckeri,-83.71667,10.216666
Threnetes_ruckeri,-78.83968,0.15241
Threnetes_ruckeri,-82.06,8.8583
Threnetes_ruckeri,-84.933334,13.433333
Threnetes_ruckeri,-84.23333,14.466666
Threnetes_ruckeri,-75.00489,6.351861
Threnetes_ruckeri,-75.12094,6.410333
Threnetes_ruckeri,-74.01214,6.352361
Threnetes_ruckeri,-74.91708,5.480889
Threnetes_ruckeri,-82.52,9.33
Threnetes_ruckeri,-82.27,9.23
Threnetes_ruckeri,-79.35,-2.567
Threnetes_ruckeri,-79.617,-0.9
Threnetes_ruckeri,-79.21,-0.35
Threnetes_ruckeri,-79.85,-0.617
Threnetes_ruckeri,-80.05,-3.55
Threnetes_ruckeri,-75.72,5.67
Threnetes_ruckeri,-72.244446,7.124445
Threnetes_ruckeri,-79.3197,9.3574
Threnetes_ruckeri,-84.852,13.702
Threnetes_ruckeri,-83.49884,8.529417
