"","wn.mu","wn.sigma1","wn.sigma2","maha.mu","maha.sigma1","maha.sigma2"
"bio1",229.271551042566,780.360739099498,206.310050637606,244.713450292398,420.793876848985,-1367.22005503956
"bio12",3190.11220811069,206.310050637606,887606.602713427,2894.13450292398,-1367.22005503956,816368.458273134
