"mu1","mu2","s11","s12","s21","s22"
225.970753037079,4030.54245698651,0.000938112934199181,2.14726428023126e-06,2.14726428023126e-06,4.67717018712175e-07
234.160270980974,3647.3934718686,0.000713500515970286,-2.99743544407943e-07,-2.99743544407943e-07,7.25716146562547e-07
220.426574741838,4082.01521686225,0.000688370995359955,3.57983369873435e-06,3.57983369873435e-06,5.43975904297145e-07
237.071088672599,3825.63880626326,0.00135226806067752,-1.22025288841815e-06,-1.22025288841815e-06,7.63106197941664e-07
240.634118908451,3876.61267952153,0.000549859382870285,1.85478644067208e-06,1.85478644067208e-06,6.11393420562128e-07
230.947796048736,3769.65102897938,0.00115485268294059,4.10613801861645e-06,4.10613801861645e-06,6.94120617310603e-07
227.988094252082,4353.41841566,0.00111893275354709,6.31670784121632e-06,6.31670784121632e-06,4.51153646260545e-07
228.813909762828,3654.73527613949,0.00113453155381339,7.37072546000894e-06,7.37072546000894e-06,7.22220707796717e-07
221.915801519578,4212.27781327574,0.00114533018350902,8.96903153407225e-06,8.96903153407225e-06,5.1868106655303e-07
231.292322494117,3543.05892986096,0.000963176076306938,2.42068521970297e-06,2.42068521970297e-06,6.32906978835214e-07
233.403094357178,3634.80971326964,0.000847690025810194,5.47674723429572e-06,5.47674723429572e-06,8.4211363406668e-07
227.78478532469,4219.92008346749,0.00070333928535074,-4.1576039740531e-08,-4.1576039740531e-08,3.99254797466762e-07
231.830522943427,3962.20792000651,0.000667562990542743,-1.0598503263873e-06,-1.0598503263873e-06,4.01823219400604e-07
229.346001140161,4290.96183348296,0.00164894233915711,5.22787489386837e-06,5.22787489386837e-06,4.78106512338686e-07
230.348510009806,4155.889150278,0.00113134379000173,2.62355174589343e-06,2.62355174589343e-06,3.45285232720192e-07
224.985586761035,3858.59104072214,0.00105169630740591,1.13031244308528e-05,1.13031244308528e-05,7.96347461225434e-07
229.23695447505,3824.6638208262,0.0010691545985039,1.3717988018474e-06,1.3717988018474e-06,6.41212343164586e-07
230.723069482571,3930.48082746077,0.00159429313377646,-2.3472068813129e-07,-2.3472068813129e-07,4.83115595554447e-07
224.50021505556,4399.23564055469,0.00111873092692434,1.45936170792361e-06,1.45936170792361e-06,4.62617005552484e-07
229.00287698989,4026.39725986514,0.00164410874963668,3.78808387361552e-06,3.78808387361552e-06,5.00187853448452e-07
235.587228998505,3725.32497802652,0.000688334389549658,9.34625926252109e-07,9.34625926252109e-07,5.27883528689716e-07
